Source,geneTarget,PMID,ID
immunoModulators,ADORA2A,29628290,S000001
immunoModulators,ARG1,29628290,S000001
immunoModulators,BTLA,29628290,S000001
immunoModulators,BTN3A1,29628290,S000001
immunoModulators,BTN3A2,29628290,S000001
immunoModulators,CCL5,29628290,S000001
immunoModulators,CD27,29628290,S000001
immunoModulators,CD274,29628290,S000001
immunoModulators,CD276,29628290,S000001
immunoModulators,CD28,29628290,S000001
immunoModulators,CD40,29628290,S000001
immunoModulators,CD40LG,29628290,S000001
immunoModulators,CD70,29628290,S000001
immunoModulators,CD80,29628290,S000001
immunoModulators,CTLA4,29628290,S000001
immunoModulators,CX3CL1,29628290,S000001
immunoModulators,CXCL10,29628290,S000001
immunoModulators,CXCL9,29628290,S000001
immunoModulators,EDNRB,29628290,S000001
immunoModulators,ENTPD1,29628290,S000001
immunoModulators,GZMA,29628290,S000001
immunoModulators,HAVCR2,29628290,S000001
immunoModulators,HLA-A,29628290,S000001
immunoModulators,HLA-B,29628290,S000001
immunoModulators,HLA-C,29628290,S000001
immunoModulators,HLA-DPA1,29628290,S000001
immunoModulators,HLA-DPB1,29628290,S000001
immunoModulators,HLA-DQA1,29628290,S000001
immunoModulators,HLA-DQA2,29628290,S000001
immunoModulators,HLA-DQB1,29628290,S000001
immunoModulators,HLA-DQB2,29628290,S000001
immunoModulators,HLA-DRA,29628290,S000001
immunoModulators,HLA-DRB1,29628290,S000001
immunoModulators,HLA-DRB3,29628290,S000001
immunoModulators,HLA-DRB4,29628290,S000001
immunoModulators,HLA-DRB5,29628290,S000001
immunoModulators,HMGB1,29628290,S000001
immunoModulators,ICAM1,29628290,S000001
immunoModulators,ICOS,29628290,S000001
immunoModulators,ICOSLG,29628290,S000001
immunoModulators,IDO1,29628290,S000001
immunoModulators,IFNA1,29628290,S000001
immunoModulators,IFNA2,29628290,S000001
immunoModulators,IFNG,29628290,S000001
immunoModulators,IL10,29628290,S000001
immunoModulators,IL12A,29628290,S000001
immunoModulators,IL13,29628290,S000001
immunoModulators,IL1A,29628290,S000001
immunoModulators,IL1B,29628290,S000001
immunoModulators,IL2,29628290,S000001
immunoModulators,IL2RA,29628290,S000001
immunoModulators,IL4,29628290,S000001
immunoModulators,ITGB2,29628290,S000001
immunoModulators,KIR2DL1,29628290,S000001
immunoModulators,KIR2DL2,29628290,S000001
immunoModulators,KIR2DL3,29628290,S000001
immunoModulators,LAG3,29628290,S000001
immunoModulators,MICA,29628290,S000001
immunoModulators,MICB,29628290,S000001
immunoModulators,PDCD1,29628290,S000001
immunoModulators,PDCD1LG2,29628290,S000001
immunoModulators,PRF1,29628290,S000001
immunoModulators,SELP,29628290,S000001
immunoModulators,SLAMF7,29628290,S000001
immunoModulators,TGFB1,29628290,S000001
immunoModulators,TIGIT,29628290,S000001
immunoModulators,TLR4,29628290,S000001
immunoModulators,TNF,29628290,S000001
immunoModulators,TNFRSF14,29628290,S000001
immunoModulators,TNFRSF18,29628290,S000001
immunoModulators,TNFRSF4,29628290,S000001
immunoModulators,TNFRSF9,29628290,S000001
immunoModulators,TNFSF4,29628290,S000001
immunoModulators,TNFSF9,29628290,S000001
immunoModulators,VEGFA,29628290,S000001
immunoModulators,VEGFB,29628290,S000001
immunoModulators,C10orf54,29628290,S000001
immunoModulators,VTCN1,29628290,S000001
gastricCancer,HSPA1A,31277152,S000002
gastricCancer,HSPA1B,31277152,S000002
gastricCancer,HSPA5,31277152,S000002
gastricCancer,MICB,31277152,S000002
gastricCancer,PSMC3,31277152,S000002
gastricCancer,TAP2,31277152,S000002
gastricCancer,KIAA0368,31277152,S000002
gastricCancer,RBP1,31277152,S000002
gastricCancer,APOD,31277152,S000002
gastricCancer,VDR,31277152,S000002
gastricCancer,PPP3R1,31277152,S000002
gastricCancer,IL11RA,31277152,S000002
gastricCancer,LGR4,31277152,S000002
gastricCancer,NRP1,31277152,S000002
gastricCancer,PLCG1,31277152,S000002
gastricCancer,GZMB,31277152,S000002
BCellcluster,IGJ,24916698,S000003
BCellcluster,KIAA0125,24916698,S000003
BCellcluster,TNFRSF17,24916698,S000003
BCellcluster,FCRL5,24916698,S000003
BCellcluster,POU2AF1,24916698,S000003
BCellcluster,CD79A,24916698,S000003
BCellcluster,BMS1P20,24916698,S000003
