source,geneTarget,signatureName,PMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,AP1M1,140.138.144.141/~RegPhos/download/RegPhos,11877461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,AP2M1,140.138.144.141/~RegPhos/download/RegPhos,18158287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAK1,NUMB,140.138.144.141/~RegPhos/download/RegPhos,18657069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,CDN1B,140.138.144.141/~RegPhos/download/RegPhos,16195327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,PLS1,140.138.144.141/~RegPhos/download/RegPhos,11390389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,PLS1,140.138.144.141/~RegPhos/download/RegPhos,11390389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,ROBO1,140.138.144.141/~RegPhos/download/RegPhos,10892742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,ROBO1,140.138.144.141/~RegPhos/download/RegPhos,10892742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,ROBO1,140.138.144.141/~RegPhos/download/RegPhos,10892742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),ABI1,140.138.144.141/~RegPhos/download/RegPhos,17389395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),ABL1,140.138.144.141/~RegPhos/download/RegPhos,12522270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),ABL2,140.138.144.141/~RegPhos/download/RegPhos,15735735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),ANXA1,140.138.144.141/~RegPhos/download/RegPhos,2457390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),APBB1,140.138.144.141/~RegPhos/download/RegPhos,15031292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAP,140.138.144.141/~RegPhos/download/RegPhos,15893754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAP,140.138.144.141/~RegPhos/download/RegPhos,15893754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAP,140.138.144.141/~RegPhos/download/RegPhos,15893754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAP,140.138.144.141/~RegPhos/download/RegPhos,15893754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAP,140.138.144.141/~RegPhos/download/RegPhos,15893754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCAR1,140.138.144.141/~RegPhos/download/RegPhos,15951569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCR,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BCR,140.138.144.141/~RegPhos/download/RegPhos,9467953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),BTK,140.138.144.141/~RegPhos/download/RegPhos,12573241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CASP9,140.138.144.141/~RegPhos/download/RegPhos,15657060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CATA,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CATA,140.138.144.141/~RegPhos/download/RegPhos,12777400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CAV1,140.138.144.141/~RegPhos/download/RegPhos,12531427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CBL,140.138.144.141/~RegPhos/download/RegPhos,11997497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CDK5,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CRK,140.138.144.141/~RegPhos/download/RegPhos,9480991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),CRKL,140.138.144.141/~RegPhos/download/RegPhos,9710592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),GPX1,140.138.144.141/~RegPhos/download/RegPhos,12893824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),IKBA,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),KPCD1,140.138.144.141/~RegPhos/download/RegPhos,12637538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),KPCD1,140.138.144.141/~RegPhos/download/RegPhos,12505989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),KPCD1,140.138.144.141/~RegPhos/download/RegPhos,12637538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),KPCD2,140.138.144.141/~RegPhos/download/RegPhos,15604256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MDM2,140.138.144.141/~RegPhos/download/RegPhos,16702947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MUC1,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,11113114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),P73,140.138.144.141/~RegPhos/download/RegPhos,10391251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PLS4,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PLS4,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PPIP1,140.138.144.141/~RegPhos/download/RegPhos,11163214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PSA7,140.138.144.141/~RegPhos/download/RegPhos,16678104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PTN6,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PTN6,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD51,140.138.144.141/~RegPhos/download/RegPhos,9461559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD51,140.138.144.141/~RegPhos/download/RegPhos,10212258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD52,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD9A,140.138.144.141/~RegPhos/download/RegPhos,11971963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
