miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)				
MIRT004860	hsa-miR-192-5p	Homo sapiens	SEP10	151011	Homo sapiens	Luciferase reporter assay//qRT-PCR//Microarray//Reporter assay	Microarray	Other	Functional MTI	19074876		
MIRT088067	hsa-miR-140-5p	Homo sapiens	SEP2	4735	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27155525				
MIRT007238	hsa-miR-30a-5p	Homo sapiens	SEP7	989	Homo sapiens	Luciferase reporter assay	Functional MTI	23383034				
MIRT016645	hsa-miR-429	Homo sapiens	SEP7	989	Homo sapiens	Reporter assay	Functional MTI	20005803				
MIRT020355	hsa-miR-200a-3p	Homo sapiens	SEP7	989	Homo sapiens	Reporter assay	Functional MTI	20005803				
MIRT021078	hsa-miR-200c-3p	Homo sapiens	SEP7	989	Homo sapiens	Reporter assay	Functional MTI	20005803				
MIRT021657	hsa-miR-141-3p	Homo sapiens	SEP7	989	Homo sapiens	Reporter assay	Functional MTI	20005803				
MIRT024133	hsa-miR-200b-3p	Homo sapiens	SEP7	989	Homo sapiens	Reporter assay	Functional MTI	20005803				
MIRT438271	hsa-miR-127-3p	Homo sapiens	SEP7	989	Homo sapiens	Luciferase reporter assay	Functional MTI	24604520				
MIRT732287	hsa-miR-5582-5p	Homo sapiens	A1BG	1	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27475256				
MIRT003093	hsa-miR-122-5p	Homo sapiens	AACS	65985	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470				
MIRT054775	hsa-miR-183-5p	Homo sapiens	AANAT	15	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	24423866				
MIRT735466	hsa-miR-558	Homo sapiens	AATK	9625	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27485693				
MIRT003670	hsa-miR-33b-5p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	20466882				
MIRT003672	hsa-miR-33a-5p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	20466885				
MIRT003672	hsa-miR-33a-5p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	20466882				
MIRT003672	hsa-miR-33a-5p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	20566875				
MIRT006711	hsa-miR-26a-5p	Homo sapiens	ABCA1	19	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	22673513				
MIRT006713	hsa-miR-26b-5p	Homo sapiens	ABCA1	19	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	22673513				
MIRT007121	hsa-miR-19a-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	23451058				
MIRT007123	hsa-miR-27a-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay	Functional MTI	23451058				
MIRT007123	hsa-miR-27a-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24608080				
MIRT054227	hsa-miR-128-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23990020				
MIRT054624	hsa-miR-27b-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24608080				
MIRT054624	hsa-miR-27b-3p	Homo sapiens	ABCA1	19	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26520906				
MIRT437926	hsa-miR-613	Homo sapiens	ABCA1	19	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	24751522				
MIRT728415	hsa-miR-93-5p	Homo sapiens	ABCA1	19	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25785043				
MIRT728416	hsa-miR-17-5p	Homo sapiens	ABCA1	19	Homo sapiens	ELISA//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25785043				
MIRT733405	hsa-miR-33a-3p	Homo sapiens	ABCA1	19	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26945479				
