source,target
AATF,chr17_36943925_37057871
ABL1,chr9_130708016_130888675
PDCD6-AHRR,chr5_266670_439291
AHRR,chr5_316714_439291
AHR,chr7_16911359_17347152
AURKAIP1,chr1_1368730_1376495
TNFAIP8L2,chr1_151151649_151160749
CDKN2AIPNLP1,chr1_226488188_226494489
TOR1AIP2,chr1_179834967_179878803
TOR1AIP1,chr1_179877042_179921077
CDKN2AIPNLP2,chr2_26822169_26828520
PAIP2B,chr2_71177738_71228103
MAIP1,chr2_199950317_200009540
TNFAIP6,chr2_151352592_151381046
EPM2AIP1,chr3_36980043_36994131
TRAIP,chr3_49823601_49857574
CDKN2AIP,chr4_183439635_183450064
NAIPP1,chr5_70457244_70480215
NAIPP3,chr5_69602099_69625049
NAIPP2,chr5_70089659_70129434
NAIPP4,chr5_71097898_71129753
CDKN2AIPNL,chr5_134397065_134412881
PAIP1,chr5_43521267_43558758
TNFAIP8,chr5_119263692_119400688
PAIP2,chr5_139336587_139370720
NAIP,chr5_70963166_71026339
SNCAIP,chr5_122306354_122465219
TNFAIP3,chr6_137862214_137884312
PAIP1P1,chr6_30181798_30189614
TP53AIP1,chr11_128929731_128944399
AIP,chr11_67463174_67492154
CDKN2AIPNLP3,chr13_39812741_39819049
TNFAIP2,chr14_103116476_103138439
TNFAIP8L3,chr15_51051598_51106276
AIPL1,chr17_6388693_6436199
TNFAIP1,chr17_28330602_28348009
PMAIP1,chr18_59894996_59905305
TNFAIP8L1,chr19_4634516_4656568
AIRE,chr21_44280838_44299648
ANKRD13C,chr1_70253999_70355734
ANKRD11P1,chr2_81189337_81202184
ANKRD18DP,chr3_198048522_198081720
ANKRD17,chr4_73068376_73259798
ANKRD18EP,chr6_39105321_39113952
ANKRD11P2,chrX_146614597_146621584
ANKRD18A,chr9_38566358_38621596
ANKRD19P,chr9_92804568_92839457
ANKRD18B,chr9_33519394_33574009
ANKRD18CP,chr9_97151570_97222235
ANKRD13D,chr11_67284300_67303485
ANKRD16,chr10_5856616_5890906
ANKRD1,chr10_90907096_90922087
ANKRD13A,chr12_109994186_110040763
ANKRD10,chr13_110873540_110916069
ANKRD10-IT1,chr13_110889639_110900172
ANKRD11,chr16_89262630_89491561
ANKRD13B,chr17_29584769_29615761
ANKRD12,chr18_9131228_9286985
APBB1,chr11_6390124_6420414
APBB1IP,chr10_26433341_26568803
APCS,chr1_159582826_159589865
ANAPC10P1,chr1_52248621_52255176
ANAPC1P2,chr2_87026815_87053992
ANAPC1P3,chr2_87113534_87121980
ANAPC1P1,chr2_86856825_86913978
ANAPC1P5,chr2_87975714_87993858
ANAPC1P6,chr2_106364724_106379247
ANAPC1P4,chr2_87695984_87739105
ANAPC1P2,chr2_87025675_87077429
ANAPC1,chr2_111606639_111885690
ANAPC15P2,chr3_174297944_174304287
ANAPC13,chr3_134472706_134487716
ANAPC10,chr4_144826908_145099541
ANAPC4,chr4_25372263_25419498
APC,chr5_112702498_112847239
SNAPC5P1,chr6_6342081_6348381
MSH5-SAPCD1,chr6_31735020_31765851
SAPCD1,chr6_31757996_31765851
SAPCD1-AS1,chr6_31759310_31766588
SAPCD2P1,chr7_64176710_64183893
SAPCD2P4,chr7_63108635_63115805
SAPCD2P3,chr7_66551216_66558065
SAPCD2P2,chr7_57419503_57426676
ANAPC15P1,chrX_8851665_8858059
SNAPC3,chr9_15417704_15466953
SAPCD2,chr9_137057127_137071557
ANAPC2,chr9_137169784_137189560
SNAPC4,chr9_136370577_136401170
ANAPC15,chr11_72101378_72113780
ANAPC16,chr10_72211000_72236860
ANAPC5,chr12_121303245_121400896
ANAPC7,chr12_110367900_110404730
SNAPC1,chr14_61757420_61797428
SNAPC5,chr15_66485135_66498780
ANAPC11,chr17_81885790_81901991
APCDD1,chr18_10449635_10490949
APCDD1L,chr20_58454101_58516399
APCDD1L-DT,chr20_58510379_58620888
APC2,chr19_1441302_1474244
SNAPC2,chr19_7915338_7924250
APEX1,chr14_20450191_20458772
ARHGEF16,chr1_3449665_3482113
PARK7,chr1_7949291_7986505
ARHGEF19-AS1,chr1_16192854_16199357
ARHGEF19,chr1_16192854_16213652
PARS2,chr1_54751898_54765523
ARID1A,chr1_26688236_26783104
ARL5AP3,chr1_68044360_68050745
ARID3BP1,chr1_81496794_81504468
BCAR3,chr1_93556741_93848150
BARHL2,chr1_90706539_90718302
ARHGAP29,chr1_94143988_94276068
WARS2-IT1,chr1_119042405_119065785
LPAR3,chr1_84806602_84894206
WARS2-AS1,chr1_119135391_119276973
SARS1,chr1_109208918_109239182
ARHGAP29-AS1,chr1_94242819_94412036
CIART,chr1_150277543_150288093
TARBP1,chr1_234386313_234480179
ARPC5,chr1_183615846_183636783
EDARADD,chr1_236343257_236503915
LARP7P1,chr1_203395266_203401581
IARS2,chr1_220089132_220149041
ARV1,chr1_230973981_231001733
ARHGEF10L,chr1_17534698_17698874
MTARC2,chr1_220743225_220785815
ARID4B,chr1_235126634_235329219
SCARNA21B,chr1_15537165_15543304
SCARNA3,chr1_175963398_175969540
SCARNA18B,chr1_193052281_193058415
SCARNA2,chr1_109095193_109101612
SCARNA4,chr1_155920958_155927085
SCARNA4,chr1_155920958_155927086
ARHGEF2,chr1_155941851_156008070
ARHGEF2-AS2,chr1_155973799_155983986
ARHGEF2-AS1,chr1_155986390_156002787
ARMH1,chr1_44669692_44726591
SCARNA1,chr1_27829401_27835566
WARS2,chr1_119026216_119141654
ARHGEF11,chr1_156929840_157046742
ARTN,chr1_43928320_43938240
PRKAR1AP1,chr1_92120301_92127462
BCAR3-AS1,chr1_93587199_93606573
TARS2,chr1_150482364_150508609
ARF1,chr1_228077660_228100212
MARCKSL1,chr1_32328839_32337233
MTARC1,chr1_220781913_220820659
MARK1,chr1_220523136_220665461
DARS2,chr1_173819653_173859808
ARHGAP30,chr1_161041946_161070970
ARNT,chr1_150804713_150877708
PARP1,chr1_226355210_226409154
ADAR,chr1_154576695_154629013
ARPC3P2,chr1_211437274_211443806
TARDBP,chr1_11007344_11031528
YARS1,chr1_32770237_32818380
ARL8A,chr1_202128404_202145743
SRARP,chr1_15999236_16009807
PEAR1,chr1_156888698_156917429
PCARE,chr2_29055976_29075523
ARHGAP25,chr2_68674601_68827833
LYARP1,chr2_82263427_82270927
STARD7-AS1,chr2_96203403_96244353
PARTICL,chr2_85532462_85539666
SOCAR,chr2_111486272_111571974
ARHGAP42P2,chr2_130001200_130010123
MARS2,chr2_197700369_197709395
FAR2P1,chr2_130007065_130041560
PARD3B,chr2_204540475_205621162
FAR2P2,chr2_130411755_130432363
ARPP19P2,chr2_100504277_100510612
FARSB,chr2_222561899_222657092
DARS1,chr2_135900881_135987100
ARPC2,chr2_218212141_218255356
ARL4C,chr2_234488041_234498081
EDAR,chr2_108889471_108990372
BARD1,chr2_214720646_214810683
GPBAR1,chr2_218254496_218264861
ARHGAP15,chr2_143086362_143769352
ARHGAP15-AS1,chr2_143624133_143657179
DARS1-AS1,chr2_135980176_136023593
ARPC1BP1,chr2_208355631_208362369
MARCHF4,chr2_216252865_216373483
SMARCAL1-AS1,chr2_216380288_216413696
SMARCAL1,chr2_216407414_216484053
FARP2,chr2_241351285_241495841
MARCHF7,chr2_159707457_159772027
SCARNA5,chr2_233270727_233277002
SCARNA6,chr2_233283676_233289940
FAR2P4,chr2_131274290_131310068
ARL14EPP1,chr2_37143530_37150304
FAR2P3,chr2_130685133_130719831
ARHGAP42P1,chr2_131323176_131331857
ARHGEF4,chr2_130831914_131048263
ARL6IP6,chr2_152712893_152763396
ARNILA,chr2_25364136_25376845
ARL5A,chr2_151783984_151829492
ARHGEF33,chr2_38884875_38976454
TOGARAM2,chr2_28951611_29053230
ARID5A,chr2_96531743_96553634
MARCO,chr2_118937194_118995660
STARD7,chr2_96179859_96209827
CFLAR,chr2_201111154_201177687
CFLAR-AS1,chr2_201135278_201158823
CARF,chr2_202907214_202989263
ANKAR,chr2_189669290_189762193
SMARCE1P6,chr2_26144204_26151731
GAREM2,chr2_26168088_26190663
ARMC9,chr2_231193546_231377848
ARPP21-AS1,chr3_35645197_35652961
RARB,chr3_25169332_25598932
MARK2P14,chr3_11901527_11913313
SETMAR,chr3_4298304_4318567
SMARCC1,chr3_47580269_47783106
ARL6,chr3_97759521_97802229
RARRES2P1,chr3_75653534_75660014
ARMC10P1,chr3_94501766_94508620
ARL6IP5,chr3_69079937_69107092
ARHGEF3-AS1,chr3_56935040_56961854
ARHGAP31-AS1,chr3_119309293_119323760
ARL4AP4,chr3_23873981_23880498
ARHGAP31,chr3_119289383_119421714
PARP14,chr3_122675839_122731840
RARRES1,chr3_158691892_158733489
ARHGEF26,chr3_154116003_154258827
LARP7P4,chr3_145518538_145525415
ARMC8,chr3_138182248_138299384
TIPARP,chr3_156668235_156707770
ARHGEF26-AS1,chr3_154019401_154122347
PARP15,chr3_122572628_122640047
TIPARP-AS1,chr3_156666862_156675446
ARF4-AS1,chr3_57592531_57601927
ARF4,chr3_57566363_57599220
MARK2P8,chr3_128743538_128750489
PRKAR2A-AS1,chr3_48842572_48852981
ARIH2OS,chr3_48912782_48919823
PARL,chr3_183824271_183885933
MARK2P17,chr3_128838564_128845404
MARK3P3,chr3_128843673_128850399
MARK2P6,chr3_128847112_128854008
ARL8B,chr3_5117249_5181911
ARHGEF3,chr3_56722418_57080329
ARPC4-TTLL3,chr3_9788082_9836401
SCARNA7,chr3_160509907_160516236
ARL14,chr3_160672160_160679448
QARS1,chr3_49090932_49106130
ARIH2,chr3_48913821_48987382
ARL13B,chr3_93975139_94056678
PARP3,chr3_51937345_51949867
ARPC4,chr3_9787495_9808101
PRKAR2A,chr3_48739597_48848874
LARS2,chr3_45383561_45555726
LARS2-AS1,chr3_45478974_45510545
PPARG,chr3_12282368_12435356
ARGFX,chr3_121562949_121591622
ARPP21,chr3_35633945_35795496
PARP9,chr3_122522924_122565577
ARL4AP2,chr4_40781110_40787710
ARAP2,chr4_35943221_36245514
PPARGC1A,chr4_23750041_23905089
ZAR1,chr4_48485252_48495389
LYAR,chr4_4262701_4291154
LARP1BP1,chr4_63345114_63352472
PARM1,chr4_74928095_75051115
ARHGEF38,chr4_105547620_105709093
PARM1-AS1,chr4_74950974_74971362
ARHGEF38-IT1,chr4_105556591_105571238
LARP1B,chr4_128056286_128223931
SAR1AP3,chr4_120337056_120343647
AARS1P1,chr4_132587084_132593536
ARHGAP24,chr4_85470150_86003668
TARS2P1,chr4_135560117_135568157
SMARCA5,chr4_143508702_143558486
CIBAR1P2,chr4_183032665_183041119
ARHGAP10,chr4_147727063_148073776
SMARCA5-AS1,chr4_143508472_143515635
MARCHF1,chr4_163519298_164385050
RARRES2P4,chr4_190032916_190039399
MARK2P4,chr4_176007038_176015417
ARFIP1,chr4_152774937_152919463
AREG,chr4_74440136_74456005
ARL9,chr4_56500209_56525959
MGARP,chr4_139261165_139281225
SMARCAD1,chr4_94202611_94292292
SCARNA22,chr4_1969636_1975760
AP1AR,chr4_112226740_112274110
CCKAR,chr4_26476396_26491484
GAR1-DT,chr4_109810047_109816410
GAR1,chr4_109810510_109825740
SPARCL1,chr4_87468335_87532061
ART3,chr4_76006184_76113802
SCARB2,chr4_76153737_76235536
LARP7,chr4_112632107_112658592
ARSJ,chr4_113895284_113980727
MARCHF11,chr5_16062139_16181762
MARCHF6,chr5_10348695_10441388
MARCHF11-AS1,chr5_16124178_16142602
MARK2P5,chr5_15379220_15385853
PART1,chr5_60482713_60549813
ARSB,chr5_78772209_78987087
ARRDC3-AS1,chr5_91375349_91613566
CARD6,chr5_40836308_40861175
STARD4,chr5_111491033_111513590
STARD4-AS1,chr5_111505396_111740726
ARSK,chr5_95550101_95606102
ARRDC3,chr5_91363631_91384317
ARL15,chr5_53878942_54311582
MARCHF3,chr5_126862714_127031558
ARHGAP26-IT1,chr5_143187500_143195166
MINAR2,chr5_129743094_129767732
PPARGC1B,chr5_149725298_149856022
ARL2BPP5,chr5_162756833_162763313
ARHGAP26-AS1,chr5_142854604_142869922
MARK2P11,chr5_157979658_157990990
RARS1,chr5_168481451_168520301
ARGFXP1,chr5_122670795_122677755
ARL10,chr5_176360487_176402865
ARHGAP26,chr5_142765377_143230011
MARCOL,chr5_148216650_148244580
ARAP3,chr5_141648401_141683230
ARHGEF37,chr5_149546947_149635968
ARL2BPP6,chr5_175285731_175292252
ARPP19P1,chr5_180977273_180983611
CARMN,chr5_149401689_149433835
WSPAR,chr5_133908677_133918269
LARS1,chr5_146105566_146183696
ARL2BPP4,chr5_130524419_130530889
PARP8,chr5_50660899_50847519
SCARNA18,chr5_83059204_83065337
HARS2,chr5_140686430_140700305
HARS1,chr5_140668035_140692537
LARP1,chr5_154707843_154818605
TARS1,chr5_33435696_33469091
ARL14EPL,chr5_116027324_116061118
SAR1B,chr5_134596149_134650271
SPARC,chr5_151656096_151687975
ARSI,chr5_150291343_150340307
MARVELD2,chr5_69410065_69445330
CARTPT,chr5_71714275_71722048
ARHGEF28,chr5_73621158_73942993
ARPC3P5,chr6_15929782_15936315
JARID2-DT,chr6_15238923_15246000
ARMH2,chr6_24792335_24799917
CARMIL1,chr6_25274078_25621530
JARID2,chr6_15241069_15523042
SAR1AP1,chr6_29071573_29078168
JARID2-AS1,chr6_15242815_15249634
AARS2,chr6_44293731_44314347
SMARCE1P2,chr6_84424584_84431802
ARMC2,chr6_108843416_108975476
ARL4AP5,chr6_150929968_150936566
TARID,chr6_133497252_133893802
TAAR6,chr6_132565322_132572359
WAKMAR2,chr6_137818673_137869233
MARCKS,chr6_113852345_113864475
TAAR5,chr6_132583673_132590686
OARD1,chr6_41028627_41098787
TAAR2,chr6_132612022_132625275
TAAR3P,chr6_132603225_132610302
ARMC2-AS1,chr6_108917976_108925103
ARID1B,chr6_156771020_157211779
RARS2,chr6_87508938_87590987
PANDAR,chr6_36668621_36676126
MARCKSL1P2,chr6_138397585_138404560
TAAR4P,chr6_132589398_132596436
ARFGEF3,chr6_138156939_138345663
TAAR9,chr6_132533290_132540336
ERMARD,chr6_169746622_169782600
ARG1,chr6_131465832_131585332
TAAR7P,chr6_132554024_132560265
ARHGAP18,chr6_129571132_129711177
TAAR8,chr6_132547693_132554721
FARS2,chr6_5256044_5830192
VARS2,chr6_30909205_30927459
ARMC12,chr6_35732032_35750079
LARP1P1,chr6_26159072_26165363
VARS1,chr6_31772518_31796752
PPARD,chr6_35337558_35429191
ARMT1,chr6_151447258_151471101
TAAR1,chr6_132638312_132660182
PRKAR1B-AS1,chr7_598185_609482
PRKAR1B,chr7_544197_728650
ARL4A,chr7_12681856_12691958
PRKAR1B-AS2,chr7_556958_566619
ARAFP2,chr7_63399842_63406400
MARK2P13,chr7_36104024_36111872
ARF1P1,chr7_94828904_94835447
ARAFP1,chr7_63932905_63939509
ARAFP3,chr7_63337711_63344200
ARPC1A,chr7_99320898_99367262
LUARIS,chr7_43503728_43523542
ARF5,chr7_127583386_127592700
ARMC10,chr7_103069881_103100759
PARP12,chr7_140018749_140063951
PRKAR2B,chr7_107039705_107162811
PRKAR2B-AS1,chr7_107061591_107134733
MARK2P10,chr7_96853182_96860618
GARS1-DT,chr7_30511309_30596286
GARS1,chr7_30575533_30635033
ARPC1B,chr7_99369249_99395816
SMARCD3,chr7_151233764_151278896
RARRES2,chr7_150333317_150342662
CARD11-AS1,chr7_2939035_2948091
