source,target
AATF,chr17_36948925_37056871
ABL1,chr9_130713016_130887675
PDCD6-AHRR,chr5_271670_438291
AHRR,chr5_321714_438291
AHR,chr7_16916359_17346152
AURKAIP1,chr1_1373730_1375495
TNFAIP8L2,chr1_151156649_151159749
CDKN2AIPNLP1,chr1_226493188_226493489
TOR1AIP2,chr1_179839967_179877803
TOR1AIP1,chr1_179882042_179920077
CDKN2AIPNLP2,chr2_26827169_26827520
PAIP2B,chr2_71182738_71227103
MAIP1,chr2_199955317_200008540
TNFAIP6,chr2_151357592_151380046
EPM2AIP1,chr3_36985043_36993131
TRAIP,chr3_49828601_49856574
CDKN2AIP,chr4_183444635_183449064
NAIPP1,chr5_70462244_70479215
NAIPP3,chr5_69607099_69624049
NAIPP2,chr5_70094659_70128434
NAIPP4,chr5_71102898_71128753
CDKN2AIPNL,chr5_134402065_134411881
PAIP1,chr5_43526267_43557758
TNFAIP8,chr5_119268692_119399688
PAIP2,chr5_139341587_139369720
NAIP,chr5_70968166_71025339
SNCAIP,chr5_122311354_122464219
TNFAIP3,chr6_137867214_137883312
PAIP1P1,chr6_30186798_30188614
TP53AIP1,chr11_128934731_128943399
AIP,chr11_67468174_67491154
CDKN2AIPNLP3,chr13_39817741_39818049
TNFAIP2,chr14_103121476_103137439
TNFAIP8L3,chr15_51056598_51105276
AIPL1,chr17_6393693_6435199
TNFAIP1,chr17_28335602_28347009
PMAIP1,chr18_59899996_59904305
TNFAIP8L1,chr19_4639516_4655568
AIRE,chr21_44285838_44298648
ANKRD13C,chr1_70258999_70354734
ANKRD11P1,chr2_81194337_81201184
ANKRD18DP,chr3_198053522_198080720
ANKRD17,chr4_73073376_73258798
ANKRD18EP,chr6_39110321_39112952
ANKRD11P2,chrX_146619597_146620584
ANKRD18A,chr9_38571358_38620596
ANKRD19P,chr9_92809568_92838457
ANKRD18B,chr9_33524394_33573009
ANKRD18CP,chr9_97156570_97221235
ANKRD13D,chr11_67289300_67302485
ANKRD16,chr10_5861616_5889906
ANKRD1,chr10_90912096_90921087
ANKRD13A,chr12_109999186_110039763
ANKRD10,chr13_110878540_110915069
ANKRD10-IT1,chr13_110894639_110899172
ANKRD11,chr16_89267630_89490561
ANKRD13B,chr17_29589769_29614761
ANKRD12,chr18_9136228_9285985
APBB1,chr11_6395124_6419414
APBB1IP,chr10_26438341_26567803
APCS,chr1_159587826_159588865
ANAPC10P1,chr1_52253621_52254176
ANAPC1P2,chr2_87031815_87052992
ANAPC1P3,chr2_87118534_87120980
ANAPC1P1,chr2_86861825_86912978
ANAPC1P5,chr2_87980714_87992858
ANAPC1P6,chr2_106369724_106378247
ANAPC1P4,chr2_87700984_87738105
ANAPC1P2,chr2_87030675_87076429
ANAPC1,chr2_111611639_111884690
ANAPC15P2,chr3_174302944_174303287
ANAPC13,chr3_134477706_134486716
ANAPC10,chr4_144831908_145098541
ANAPC4,chr4_25377263_25418498
APC,chr5_112707498_112846239
SNAPC5P1,chr6_6347081_6347381
MSH5-SAPCD1,chr6_31740020_31764851
SAPCD1,chr6_31762996_31764851
SAPCD1-AS1,chr6_31764310_31765588
SAPCD2P1,chr7_64181710_64182893
SAPCD2P4,chr7_63113635_63114805
SAPCD2P3,chr7_66556216_66557065
SAPCD2P2,chr7_57424503_57425676
ANAPC15P1,chrX_8856665_8857059
SNAPC3,chr9_15422704_15465953
SAPCD2,chr9_137062127_137070557
ANAPC2,chr9_137174784_137188560
SNAPC4,chr9_136375577_136400170
ANAPC15,chr11_72106378_72112780
ANAPC16,chr10_72216000_72235860
ANAPC5,chr12_121308245_121399896
ANAPC7,chr12_110372900_110403730
SNAPC1,chr14_61762420_61796428
